,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
0,4.0,0,4.0,6.0,0,13.0,5.0,0
1,9.0,1,0.0,0.0,1,0.0,3.0,1
4,3.0,0,9.0,4.0,0,8.0,5.0,0
5,1.0,0,7.0,5.0,0,6.0,6.0,0
6,4.0,0,9.0,3.0,0,7.0,7.0,0
7,2.0,0,8.0,4.0,0,7.0,8.0,0
8,10.0,1,1.0,3.0,1,0.0,3.0,1
9,0.0,0,8.0,6.0,0,13.0,8.0,0
10,3.0,0,9.0,6.0,0,15.0,5.0,0
11,10.0,1,3.0,1.0,1,4.0,0.0,1
12,3.0,0,6.0,7.0,0,14.0,10.0,0
14,6.0,1,3.0,0.0,1,1.0,3.0,1
15,0.0,0,4.0,4.0,0,8.0,8.0,0
16,9.0,1,0.0,0.0,1,0.0,0.0,1
17,1.0,0,5.0,6.0,0,10.0,4.0,0
18,5.0,1,3.0,0.0,1,4.0,2.0,1
19,1.0,0,7.0,5.0,0,12.0,5.0,0
21,2.0,0,8.0,4.0,0,13.0,6.0,0
22,1.0,0,6.0,7.0,0,14.0,9.0,0
24,2.0,0,8.0,7.0,0,15.0,6.0,0
25,2.0,0,8.0,4.0,0,11.0,9.0,0
26,0.0,0,6.0,4.0,0,14.0,9.0,0
27,4.0,0,5.0,7.0,0,6.0,6.0,0
28,2.0,0,6.0,4.0,0,12.0,10.0,0
29,0.0,0,9.0,4.0,0,14.0,7.0,0
30,4.0,0,10.0,4.0,0,9.0,10.0,0
31,4.0,0,7.0,7.0,0,7.0,9.0,0
32,5.0,1,3.0,3.0,1,0.0,1.0,1
33,8.0,1,3.0,3.0,0,2.0,0.0,1
34,10.0,1,1.0,1.0,1,3.0,2.0,1
35,2.0,0,6.0,5.0,0,14.0,9.0,0
36,1.0,0,4.0,4.0,0,15.0,4.0,0
37,1.0,0,6.0,4.0,0,10.0,5.0,0
39,5.0,1,0.0,1.0,1,5.0,0.0,1
40,3.0,0,5.0,5.0,0,13.0,5.0,0
41,1.0,0,4.0,5.0,0,6.268862911795962,10.0,0
42,9.0,1,1.0,3.0,1,2.0,2.0,1
44,8.0,1,2.0,1.0,1,5.0,3.0,1
45,0.0,0,8.0,6.0,0,6.0,10.0,0
46,4.0,0,7.0,4.0,0,13.0,10.0,0
47,10.0,1,1.0,2.0,1,2.0,0.0,1
48,5.0,1,1.0,3.0,1,3.0,3.0,1
49,1.0,0,5.0,6.0,0,8.0,10.0,0
50,6.0,1,1.0,0.0,1,3.0,1.0,1
51,0.0,0,7.0,4.0,0,10.0,10.0,0
54,6.0,1,3.0,3.0,1,4.0,3.0,1
55,3.0,0,10.0,4.0,0,10.0,5.0,0
56,9.0,1,3.0,2.0,1,4.0,3.0,1
57,2.0,0,10.0,6.0,0,10.0,9.0,0
58,2.0,0,5.0,7.0,0,10.0,5.0,0
59,4.505816002819881,0,9.0,4.0,0,7.0,5.0,0
60,1.0,0,9.0,5.0,0,9.0,10.0,0
61,9.0,1,2.0,3.0,1,4.0,2.0,1
62,7.0,1,3.0,1.0,1,2.0,3.0,1
63,2.0,0,7.0,5.0,0,7.0,9.0,0
64,3.0,0,5.0,6.0,0,6.0,5.0,0
65,10.0,1,3.0,1.0,1,0.0,2.0,1
66,0.0,0,10.0,6.0,0,6.0,4.0,0
67,5.0,1,1.0,3.0,1,4.0,3.0,1
68,0.0,0,4.0,6.0,0,6.0,5.0,0
69,7.0,1,3.0,2.0,1,1.0,2.0,1
70,8.0,1,3.0,3.0,1,4.0,0.0,1
71,1.0,0,3.963354474982382,5.0,0,11.0,8.0,0
72,2.0,0,10.0,5.0,0,12.0,5.0,0
75,7.0,1,3.0,3.0,1,2.0,0.0,1
77,0.0,0,5.0,4.0,0,9.0,10.0,0
79,4.0,0,9.0,6.0,0,11.0,6.0,0
81,1.0,0,8.0,4.0,0,11.0,10.0,0
82,0.0,0,5.0,6.0,0,9.0,7.0,0
83,7.0,1,1.0,0.0,0,3.0,1.0,1
84,4.0,0,4.0,7.0,0,6.0,8.0,0
85,3.0,0,4.0,4.0,0,12.0,5.0,0
86,4.0,0,9.0,4.0,0,8.0,10.0,0
87,0.0,0,6.0,5.0,0,11.0,8.0,0
88,1.0,0,4.0,6.0,0,15.0,8.0,0
89,3.0,0,7.0,6.0,0,6.268862911795962,9.0,0
90,5.0,1,1.0,3.0,1,4.0,0.0,1
91,0.0,0,7.0,6.0,0,10.0,4.0,0
92,9.0,1,1.0,1.0,1,1.0,3.0,1
93,3.0,0,5.0,5.0,0,8.0,5.0,0
94,1.0,0,8.0,6.0,0,9.0,6.0,0
95,3.0,0,7.0,6.0,0,11.0,10.0,0
96,1.0,0,5.0,3.0,0,10.0,9.0,0
97,3.0,0,10.0,6.0,0,14.0,7.0,0
98,4.0,0,10.0,7.0,0,8.0,10.0,0
100,5.0,1,2.0,2.0,1,0.0,3.0,1
101,1.0,0,3.963354474982382,6.0,0,8.0,8.0,0
102,0.0,0,4.0,7.0,0,13.0,4.0,0
103,5.0,1,1.0,3.0,1,5.0,2.0,1
104,7.0,1,1.0,2.0,1,3.0,3.0,1
105,0.0,0,6.0,7.0,0,12.0,9.0,0
106,0.0,0,4.0,6.0,0,13.0,5.0,0
107,0.0,0,6.0,7.0,0,9.0,4.0,0
108,3.0,0,4.0,5.0,0,10.0,6.0,0
109,9.0,1,0.0,3.0,1,1.0,0.0,1
110,3.0,0,6.0,7.0,0,15.0,5.0,0
111,4.0,0,9.0,7.0,0,13.0,5.0,0
112,1.0,0,7.0,7.0,0,9.0,5.0,0
113,7.0,1,0.0,3.0,1,1.0,0.0,1
114,3.0,0,6.0,4.0,0,8.0,10.0,0
115,4.0,0,5.0,5.0,0,15.0,8.0,0
116,1.0,0,7.0,5.0,0,6.0,9.0,0
117,5.0,1,0.0,2.0,1,0.0,2.0,1
118,10.0,1,0.0,3.0,1,0.0,1.0,1
119,3.0,0,8.0,4.0,0,12.0,4.0,0
120,6.0,1,1.0,2.0,1,5.0,1.0,1
121,10.0,1,2.0,3.0,1,2.0,2.0,1
122,3.0,0,5.0,7.0,0,8.0,4.0,0
123,7.0,1,2.0,3.0,1,1.0,2.0,1
124,3.0,0,6.0,6.0,0,10.0,7.0,0
126,4.0,0,9.0,7.0,0,10.0,5.0,0
127,4.0,0,4.0,7.0,0,15.0,8.0,0
128,10.0,1,0.0,1.0,1,5.0,3.0,1
129,4.0,0,7.0,6.0,0,7.0,9.0,0
130,3.0,0,5.0,7.0,0,13.0,7.0,0
131,5.0,1,3.963354474982382,0.0,1,2.0,2.0,1
132,8.0,1,1.0,1.0,1,2.0,3.0,1
133,4.0,0,9.0,5.0,0,10.0,7.0,0
134,2.0,0,10.0,6.0,0,11.0,8.0,0
135,6.0,1,0.0,1.0,1,1.0,1.0,1
136,10.0,1,2.0,1.0,1,5.0,3.0,1
139,4.0,0,10.0,4.0,0,9.0,8.0,0
140,2.0,0,10.0,7.0,0,6.0,4.0,0
141,10.0,1,3.0,3.0,1,5.0,3.0,1
142,3.0,0,7.0,5.0,0,6.0,9.0,0
143,2.0,0,10.0,6.0,0,12.0,5.0,0
144,3.0,0,5.0,6.0,0,8.0,6.0,0
145,3.0,0,6.0,7.0,0,15.0,9.0,0
146,9.0,1,1.0,0.0,1,0.0,0.0,1
147,5.0,1,0.0,3.0,1,4.0,3.0,1
150,7.0,1,2.0,2.0,1,3.0,2.0,1
151,2.0,0,6.0,4.0,0,13.0,5.0,0
152,4.0,0,5.0,7.0,0,13.0,8.0,0
153,9.0,1,2.0,3.0,1,0.0,1.0,1
154,4.0,0,8.0,7.0,0,11.0,7.0,0
155,8.0,1,1.0,2.0,1,3.0,3.0,1
156,5.0,1,3.0,1.0,1,2.0,1.0,1
157,2.0,0,6.0,7.0,0,11.0,10.0,0
158,2.0,0,10.0,4.0,0,11.0,10.0,0
159,2.0,0,9.0,5.0,0,8.0,10.0,0
160,5.0,1,2.0,2.0,1,1.0,2.0,1
161,6.0,1,3.0,0.0,1,5.0,0.0,1
162,3.0,0,10.0,5.0,0,14.0,4.0,0
163,6.0,1,3.0,3.0,1,1.0,0.0,1
164,6.0,1,1.0,3.0,1,1.0,3.0,1
165,0.0,0,7.0,7.0,0,9.0,8.0,0
166,10.0,1,0.0,3.0,1,4.0,3.0,1
167,9.0,1,2.0,2.0,1,1.0,1.0,1
169,6.0,1,1.0,3.0,1,3.0,3.0,1
170,1.0,0,8.0,4.0,0,10.0,8.0,0
171,4.505816002819881,0,4.0,7.0,0,7.0,5.0,0
172,3.0,0,6.0,6.0,0,13.0,9.0,0
173,6.0,1,1.0,3.0,1,0.0,2.0,1
174,1.0,0,5.0,5.0,0,15.0,5.0,0
175,8.0,1,2.0,2.0,1,1.0,1.0,1
176,1.0,0,9.0,4.0,0,13.0,6.0,0
177,2.0,0,8.0,6.0,0,13.0,10.0,0
178,2.0,0,9.0,7.0,0,13.0,10.0,0
179,2.0,0,6.0,7.0,0,8.0,9.0,0
180,4.505816002819881,0,8.0,5.0,0,9.0,4.0,0
181,3.0,0,8.0,4.0,0,7.0,4.0,0
182,6.0,1,0.0,0.0,1,2.0,3.0,1
184,3.0,0,8.0,7.0,0,7.0,10.0,0
185,10.0,1,1.0,0.0,1,0.0,3.0,1
187,10.0,1,0.0,1.0,1,1.0,1.0,1
189,2.0,0,10.0,7.0,0,10.0,4.0,0
190,4.0,0,8.0,7.0,0,6.0,10.0,0
191,3.0,0,8.0,4.0,0,9.0,7.0,0
192,0.0,0,5.0,6.0,0,9.0,4.0,0
193,9.0,1,2.0,3.0,1,2.0,1.0,1
194,8.0,1,0.0,0.0,1,1.0,2.0,1
195,1.0,0,6.0,7.0,0,13.0,10.0,0
196,6.0,1,3.0,2.0,1,3.0,1.0,1
197,6.0,1,2.0,2.0,1,1.0,1.0,1
199,3.0,0,6.0,3.0,0,10.0,6.0,0
202,6.0,1,2.0,0.0,1,3.0,1.0,1
205,8.0,0,0.0,3.0,1,3.0,2.0,1
207,4.505816002819881,1,2.0,2.0,1,1.0,2.0,1
209,5.0,1,0.0,1.0,1,2.0,1.0,1
210,4.0,1,1.0,0.0,1,2.0,2.0,1
211,7.0,1,2.0,0.0,1,3.0,2.0,1
214,5.0,1,1.0,1.0,1,2.0,1.0,1
215,7.0,1,1.0,2.0,1,3.0,1.0,1
217,5.0,1,2.0,0.0,1,2.0,0.0,1
219,8.0,1,0.0,0.0,1,3.0,0.0,1
220,4.0,1,2.0,2.0,1,6.268862911795962,0.0,1
221,6.0,1,2.0,0.0,1,3.0,0.0,1
225,6.0,0,0.0,2.0,1,1.0,2.0,1
226,9.0,1,2.0,0.0,1,1.0,1.0,1
230,8.0,1,2.0,2.0,0,1.0,0.0,1
232,8.0,1,1.0,0.0,1,1.0,1.0,1
233,7.0,1,1.0,1.0,1,3.0,3.564726631393298,1
235,4.0,1,0.0,2.0,1,2.0,3.564726631393298,1
240,5.0,1,1.0,2.0,1,2.0,2.0,1
241,4.0,1,0.0,0.0,1,1.0,2.0,1
242,4.0,1,1.0,1.0,1,2.0,2.0,1
243,8.0,1,0.0,0.0,1,3.0,1.0,1
246,9.0,1,0.0,1.0,1,2.0,1.0,1
247,6.0,1,2.0,0.0,1,1.0,2.0,1
248,9.0,1,0.0,2.0,1,3.0,2.0,1
250,7.0,1,0.0,0.0,1,3.0,1.0,1
252,9.0,1,1.0,2.0,1,3.0,1.0,1
254,7.0,1,0.0,0.0,1,3.0,2.0,1
255,4.0,1,0.0,2.0,1,3.0,2.0,1
256,7.0,1,1.0,0.0,1,3.0,0.0,1
263,9.0,1,1.0,1.0,1,2.0,1.0,1
264,8.0,1,2.0,1.0,1,3.0,2.0,1
268,8.0,1,1.0,2.0,1,1.0,0.0,1
269,8.0,1,0.0,1.0,1,1.0,3.564726631393298,1
271,4.0,1,2.0,1.0,1,1.0,1.0,1
273,9.0,1,2.0,1.0,1,3.0,2.0,1
274,5.0,1,1.0,3.0,1,1.0,0.0,1
278,7.0,1,0.0,0.0,1,6.268862911795962,1.0,1
281,4.0,1,1.0,2.0,1,2.0,0.0,1
282,9.0,0,1.0,1.0,1,2.0,0.0,1
284,6.0,1,0.0,0.0,1,1.0,0.0,1
286,6.0,1,2.0,0.0,1,2.0,1.0,1
290,4.0,1,0.0,0.0,1,2.0,1.0,1
291,4.0,1,2.0,1.0,1,2.0,1.0,1
292,4.0,1,0.0,0.0,1,1.0,0.0,1
293,8.0,1,3.963354474982382,0.0,1,6.268862911795962,3.564726631393298,1
294,7.0,1,1.0,2.0,1,1.0,1.0,1
295,4.0,1,0.0,1.0,1,1.0,2.0,1
296,4.0,1,1.0,1.0,1,2.0,0.0,1
297,7.0,1,1.0,1.0,1,1.0,2.0,1
299,5.0,1,1.0,1.0,1,1.0,1.0,1
301,3.0,0,3.0,7.0,0,8.0,7.0,0
302,3.0,0,4.0,4.0,0,7.0,5.0,0
303,3.0,0,6.0,5.0,0,6.0,6.0,0
304,0.0,0,3.0,4.0,0,6.0,5.0,0
305,0.0,0,6.0,6.0,0,4.0,3.0,0
306,3.0,0,4.0,6.0,0,7.0,7.0,0
307,0.0,0,6.0,6.0,0,9.0,4.0,0
308,0.0,0,5.0,5.0,0,6.268862911795962,9.0,0
309,0.0,0,4.0,7.0,0,8.0,4.0,0
310,1.0,0,4.0,3.0,0,6.268862911795962,5.0,0
311,0.0,0,6.0,3.0,0,8.0,4.0,0
312,0.0,0,5.0,4.0,0,7.0,3.0,0
314,0.0,0,3.0,7.0,0,6.0,3.0,0
315,2.0,0,6.0,5.0,0,4.0,9.0,0
316,3.0,0,7.0,7.0,0,4.0,9.0,0
317,4.505816002819881,0,3.0,6.0,0,4.0,8.0,0
318,0.0,0,3.0,5.0,0,7.0,3.0,0
319,1.0,0,7.0,6.0,0,6.0,3.0,0
320,4.505816002819881,0,6.0,4.0,0,4.0,5.0,0
321,3.0,0,3.0,6.0,0,7.0,8.0,0
322,2.0,0,6.0,6.0,0,5.0,9.0,0
324,0.0,0,6.0,6.0,0,8.0,6.0,0
325,0.0,0,3.0,6.0,0,8.0,7.0,0
326,1.0,0,4.0,6.0,0,9.0,9.0,0
327,1.0,0,7.0,6.0,0,8.0,5.0,0
328,2.0,0,4.0,6.0,0,7.0,3.0,0
329,1.0,0,4.0,7.0,0,4.0,7.0,0
330,1.0,0,3.963354474982382,7.0,0,5.0,3.0,0
331,1.0,0,5.0,5.0,0,5.0,7.0,0
332,0.0,0,7.0,5.0,0,6.0,7.0,0
333,0.0,0,6.0,4.0,0,4.0,7.0,0
334,3.0,0,6.0,5.0,0,7.0,9.0,0
335,2.0,0,7.0,7.0,0,9.0,9.0,0
337,1.0,0,3.963354474982382,4.0,0,8.0,4.0,0
338,3.0,0,4.0,7.0,0,7.0,7.0,0
339,2.0,0,3.0,6.0,0,4.0,5.0,0
340,0.0,0,6.0,5.0,0,4.0,9.0,0
341,3.0,0,3.0,4.0,0,4.0,8.0,0
342,0.0,0,4.0,7.0,0,8.0,7.0,0
343,0.0,0,7.0,7.0,0,9.0,7.0,0
344,2.0,0,6.0,4.0,0,7.0,5.0,0
345,2.0,0,6.0,4.0,0,5.0,9.0,0
346,0.0,0,3.0,5.0,0,4.0,7.0,0
347,1.0,0,5.0,7.0,0,4.0,5.0,0
348,3.0,0,4.0,7.0,0,9.0,6.0,0
349,3.0,0,6.0,4.0,0,5.0,6.0,0
350,3.0,0,4.0,7.0,0,5.0,6.0,0
351,1.0,0,6.0,7.0,0,8.0,3.564726631393298,0
352,3.0,0,5.0,5.0,0,4.0,3.0,0
353,0.0,0,7.0,7.0,0,8.0,6.0,0
354,3.0,0,7.0,4.0,0,9.0,5.0,0
355,0.0,0,4.0,6.0,0,8.0,9.0,0
356,0.0,0,4.0,5.0,0,9.0,4.0,0
357,2.0,0,7.0,4.0,0,4.0,8.0,0
358,0.0,0,4.0,7.0,0,4.0,5.0,0
359,0.0,0,4.0,6.0,0,4.0,8.0,0
360,2.0,0,5.0,4.0,0,8.0,3.0,0
361,1.0,0,3.0,6.0,0,4.0,7.0,0
362,3.0,0,6.0,4.0,0,8.0,9.0,0
363,0.0,0,5.0,4.0,0,8.0,7.0,0
365,0.0,0,3.0,5.0,0,4.0,5.0,0
366,0.0,0,7.0,7.0,0,9.0,3.0,0
367,0.0,0,4.0,7.0,0,5.0,4.0,0
369,0.0,0,6.0,4.0,0,9.0,8.0,0
370,2.0,0,3.0,4.0,0,8.0,7.0,0
371,1.0,0,4.0,6.0,0,6.0,9.0,0
372,1.0,0,6.0,5.0,0,9.0,4.0,0
373,1.0,0,4.0,5.0,0,6.0,5.0,0
374,2.0,0,4.0,7.0,0,4.0,8.0,0
376,0.0,0,7.0,4.0,0,7.0,4.0,0
377,3.0,0,3.0,5.0,0,4.0,6.0,0
378,3.0,0,7.0,5.0,0,6.268862911795962,7.0,0
379,1.0,0,7.0,5.0,0,6.0,5.0,0
380,3.0,0,5.0,6.0,0,6.268862911795962,9.0,0
381,2.0,0,5.0,5.0,0,7.0,6.0,0
382,3.0,0,3.0,6.0,0,6.0,5.0,0
383,0.0,0,4.0,4.0,0,5.0,5.0,0
385,1.0,0,7.0,5.0,0,8.0,8.0,0
386,0.0,0,3.963354474982382,4.0,0,7.0,4.0,0
387,1.0,0,4.0,4.0,0,9.0,4.0,0
388,0.0,0,5.0,4.0,0,5.0,3.0,0
389,2.0,0,3.0,5.0,0,6.268862911795962,5.0,0
390,2.0,0,7.0,4.0,0,5.0,6.0,0
391,0.0,0,3.0,6.0,0,8.0,6.0,0
392,2.0,0,4.0,7.0,0,9.0,4.0,0
393,0.0,0,4.0,5.0,0,6.0,5.0,0
394,2.0,0,5.0,6.0,0,9.0,5.0,0
395,2.0,0,6.0,4.0,0,5.0,4.0,0
396,1.0,0,5.0,6.0,0,4.0,9.0,0
397,0.0,0,6.0,5.0,0,4.0,3.0,0
398,2.0,0,4.0,5.0,0,7.0,3.0,0
399,0.0,0,7.0,7.0,0,4.0,6.0,0
401,8.0,1,2.0,1.0,1,2.0,2.0,1
402,6.0,1,2.0,0.0,1,6.268862911795962,2.0,1
404,1.0,0,5.0,7.0,0,10.0,3.0,0
405,3.0,0,5.0,5.0,0,14.0,3.0,0
406,2.0,0,6.0,6.0,0,8.0,6.0,0
